Customer ID,Age,Gender,Location,Review Rating,Subscription Status,Preferred Payment Method
c8a66fe3,48,Male,Lleida,2.6,Yes,Debit Card
7d08cdc9,29,Male,Madrid,2.9,No,Debit Card
df301f04,41,Male,Oviedo,4.7,Yes,Debit Card
a70cf1ee,67,Female,Valencia,3.2,No,Debit Card
b0e56ea7,49,Male,Alicante,4.4,No,Credit Card
4f289506,64,Male,Alicante,3.5,Yes,Venmo
54e1bf15,25,Male,Valencia,3.3,No,Bank Transfer
67d3db22,43,Male,Oviedo,3.2,No,Debit Card
7ca0237a,68,Female,Móstoles,4.3,No,Bank Transfer
018b79a5,57,Male,Girona,2.6,No,Credit Card
4ed9dab2,21,Male,Avilés,3.9,No,Bank Transfer
716dacac,53,Male,Avilés,3.9,No,Venmo
50d3ab95,40,Female,Castellón,2.7,No,Credit Card
b97b20b1,35,Female,Alcalá de Henares,4.3,No,Venmo
59f55e84,27,Female,Lleida,3.8,No,Debit Card
24603009,18,Male,Castellón,2.6,No,Cash
70738f6a,44,Female,Avilés,4.8,No,Credit Card
59710246,64,Male,Madrid,4.7,Yes,Debit Card
e77f8d14,60,Male,Oviedo,4.9,Yes,Credit Card
bbc6b8c3,21,Female,Valencia,4.9,No,Bank Transfer
726a8db4,22,Male,Barcelona,3.2,No,Bank Transfer
3be26f24,47,Male,Oviedo,3.3,Yes,Venmo
f4ab54e7,37,Male,Gijón,3.8,No,Venmo
2802405b,51,Male,Madrid,3.9,Yes,PayPal
a5de4b44,70,Male,Barcelona,4.9,No,Credit Card
5e675c41,41,Male,Girona,3.0,Yes,Credit Card
77a50493,55,Male,Alcalá de Henares,3.2,No,Cash
950e4be2,36,Female,Lleida,4.0,No,Debit Card
08525da1,25,Male,Barcelona,4.5,No,Credit Card
cb91bfe9,60,Female,Alcalá de Henares,4.7,No,Venmo
285b241f,42,Male,Alicante,4.8,No,PayPal
d5a04823,54,Male,Castellón,3.9,No,Cash
8c451591,36,Male,Alcalá de Henares,4.9,Yes,Venmo
efd3a67d,48,Male,Castellón,4.2,No,Bank Transfer
c280d4f7,22,Male,Móstoles,4.1,No,Cash
,38,Female,Girona,4.1,No,Cash
f3e28e4c,47,Male,Girona,2.6,No,Debit Card
87d883ed,28,Female,Alcalá de Henares,3.2,No,Debit Card
20e84cde,48,Female,Barcelona,4.1,No,Cash
ec60af8a,66,Female,Girona,2.6,No,Bank Transfer
6cf4849e,61,Female,Alcalá de Henares,4.0,No,Debit Card
5ff072b0,34,Female,Móstoles,3.8,No,Bank Transfer
dccaa8c1,38,Male,Avilés,3.2,Yes,PayPal
21bf5feb,18,Male,Alicante,4.4,No,Cash
dbebee84,47,Male,Madrid,2.6,Yes,Debit Card
25d2bda3,30,Male,Alcalá de Henares,2.5,No,Credit Card
,43,Male,Madrid,3.4,No,Credit Card
23cd4d83,67,Male,Gijón,4.9,No,Debit Card
,36,Male,Valencia,4.9,Yes,Cash
515b9f02,46,Male,Barcelona,4.0,Yes,PayPal
384144e3,29,Female,Oviedo,3.8,No,PayPal
5c3b0ea3,55,Male,Castellón,3.0,No,Venmo
d72e739c,66,Male,Avilés,3.5,No,Bank Transfer
f01c682f,49,Male,Móstoles,4.9,No,PayPal
eb681e4d,29,Male,Alcalá de Henares,4.5,No,Credit Card
15aecd08,64,Male,Barcelona,3.5,No,Debit Card
df62fba6,23,Male,Lleida,3.0,No,PayPal
af23abbd,70,Female,Lleida,3.3,No,Credit Card
afb6a9f3,66,Female,Madrid,3.3,No,Bank Transfer
700e2e2c,64,Male,Castellón,3.5,No,Cash
ac4cc10e,43,Female,Barcelona,3.3,No,Cash
727f9779,33,Male,Barcelona,3.8,No,PayPal
bde4951d,41,Male,Gijón,4.0,No,Venmo
40d83b8d,40,Male,Gijón,4.9,No,Credit Card
e07af0f0,29,Male,Madrid,3.1,Yes,Cash
86550d88,51,Male,Valencia,4.5,No,Credit Card
c6d5dc0c,18,Male,Madrid,3.8,No,Venmo
1cc21b6a,35,Female,Oviedo,4.4,No,Credit Card
923087f7,31,Male,Valencia,4.2,Yes,Credit Card
23643f94,30,Male,Madrid,4.7,No,Cash
82d39a20,60,Male,Lleida,4.7,No,Bank Transfer
48635198,70,Female,Girona,3.4,No,Cash
125f241e,46,Female,Barcelona,4.5,No,Cash
eaf6e286,60,Male,Alcalá de Henares,4.5,No,Bank Transfer
a7d4d801,33,Male,Castellón,4.2,Yes,PayPal
2b77f2ce,59,Male,Girona,4.5,Yes,Debit Card
